Average Domestic Airline Itinerary Fares By Origin City for Q4 2024 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
215,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,162.53,162.53," 6,432 ",,,,,,,,,,,
216,MBS,MBS International,Saginaw/Bay City/Midland,MI,557.60,557.60," 6,283 ",,,,,,,,,,,
217,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,356.02,356.02," 6,189 ",,,,,,,,,,,
218,MLU,Monroe Regional,Monroe,LA,615.92,615.92," 6,137 ",,,,,,,,,,,
219,GRK,Robert Gray AAF,Killeen,TX,599.81,599.81," 5,882 ",,,,,,,,,,,
220,LBE,Arnold Palmer Regional,Latrobe,PA,157.42,157.42," 5,672 ",,,,,,,,,,,
221,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,519.94,519.94," 5,637 ",,,,,,,,,,,
222,HLN,Helena Regional,Helena,MT,595.48,595.48," 5,609 ",,,,,,,,,,,
223,ABI,Abilene Regional,Abilene,TX,598.55,598.55," 5,572 ",,,,,,,,,,,
224,ELM,Elmira/Corning Regional,Elmira/Corning,NY,372.31,372.31," 5,534 ",,,,,,,,,,,
225,CPR,Casper/Natrona County International,Casper,WY,597.59,597.59," 5,500 ",,,,,,,,,,,
226,BET,Bethel Airport,Bethel,AK,452.47,452.47," 5,442 ",,,,,,,,,,,
227,ACK,Nantucket Memorial,Nantucket,MA,395.66,395.66," 5,436 ",,,,,,,,,,,
228,LCH,Lake Charles Regional,Lake Charles,LA,510.68,510.68," 5,431 ",,,,,,,,,,,
229,GFK,Grand Forks International,Grand Forks,ND,497.11,497.11," 5,419 ",,,,,,,,,,,
230,KTN,Ketchikan International,Ketchikan,AK,504.61,504.61," 5,377 ",,,,,,,,,,,
231,CWA,Central Wisconsin,Mosinee,WI,659.95,659.95," 5,375 ",,,,,,,,,,,
231,COU,Columbia Regional,Columbia,MO,623.52,623.52," 5,375 ",,,,,,,,,,,
233,RDD,Redding Regional,Redding,CA,504.76,504.76," 5,149 ",,,,,,,,,,,
234,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,537.55,537.55," 5,024 ",,,,,,,,,,,
235,AEX,Alexandria International,Alexandria,LA,647.03,647.03," 5,014 ",,,,,,,,,,,
236,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,571.84,571.84," 4,980 ",,,,,,,,,,,
237,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,605.31,605.31," 4,941 ",,,,,,,,,,,
238,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,660.38,660.38," 4,889 ",,,,,,,,,,,
239,CMI,University of Illinois/Willard,Champaign/Urbana,IL,613.12,613.12," 4,867 ",,,,,,,,,,,
240,RST,Rochester International,Rochester,MN,516.93,516.93," 4,832 ",,,,,,,,,,,
241,VRB,Vero Beach Regional,Vero Beach,FL,180.89,180.89," 4,646 ",,,,,,,,,,,
242,GUM,Guam International,Guam,TT,1559.25,1559.25," 4,466 ",,,,,,,,,,,
243,TOL,Eugene F Kranz Toledo Express,Toledo,OH,161.20,161.20," 4,355 ",,,,,,,,,,,
244,IAG,Niagara Falls International,Niagara Falls,NY,176.22,176.22," 4,190 ",,,,,,,,,,,
245,YUM,Yuma MCAS/Yuma International,Yuma,AZ,647.52,647.52," 4,071 ",,,,,,,,,,,
246,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,521.56,521.56," 3,955 ",,,,,,,,,,,
247,SCK,Stockton Metro,Stockton,CA,134.09,134.09," 3,948 ",,,,,,,,,,,
248,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,550.99,550.99," 3,911 ",,,,,,,,,,,
249,GRI,Central Nebraska Regional,Grand Island,NE,355.95,355.95," 3,849 ",,,,,,,,,,,
250,PSM,Portsmouth International at Pease,Portsmouth,NH,163.88,163.88," 3,847 ",,,,,,,,,,,
251,SIT,Sitka Rocky Gutierrez,Sitka,AK,471.63,471.63," 3,745 ",,,,,,,,,,,
252,CLL,Easterwood Field,College Station/Bryan,TX,573.00,573.00," 3,669 ",,,,,,,,,,,
253,PUW,Pullman Moscow Regional,Pullman,WA,458.71,458.71," 3,643 ",,,,,,,,,,,
254,HHH,Hilton Head Airport,Hilton Head,SC,476.42,476.42," 3,578 ",,,,,,,,,,,
255,FLG,Flagstaff Pulliam,Flagstaff,AZ,646.94,646.94," 3,507 ",,,,,,,,,,,
256,ADQ,Kodiak Airport,Kodiak,AK,580.50,580.50," 3,500 ",,,,,,,,,,,
257,SPI,Abraham Lincoln Capital,Springfield,IL,263.52,263.52," 3,455 ",,,,,,,,,,,
